"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Denver",69.403,122,67.8923,145,116.112,50,115.992,76,120.99,360,122.106,359,-6.11377,235
"2026","DePaul",67.7309,214,66.2404,244,103.659,279,107.15,210,102.846,62,100.339,34,6.8113,101
"2026","Detroit Mercy",69.7525,103,68.7969,100,109.439,150,107.944,190,112.596,281,112.107,238,-4.16289,218
"2026","Drake",67.849,211,67.2476,186,108.008,185,109.928,155,111.656,263,112.565,248,-2.63628,197
"2026","Drexel",65.207,326,64.2295,334,103.191,283,102.371,296,103.331,67,107.044,130,-4.67362,222
"2026","Duke",67.0971,239,65.3865,287,122.47,4,127.971,4,94.2526,2,89.092,2,38.8793,1
"2026","Duquesne",69.3469,127,68.6009,113,109.105,160,110.695,143,107.797,162,107.289,136,3.4056,128
"2026","East Carolina",69.151,139,68.6406,110,102.253,302,103.67,276,110.944,243,111.085,214,-7.41507,254
"2026","East Tennessee St.",66.5234,270,66.073,254,114.698,65,109.682,160,104.953,89,109.22,174,0.461671,165
"2026","East Texas A&M",68.5075,173,68.1988,132,98.4375,340,100.698,317,110.703,234,111.481,221,-10.7833,289
"2026","Eastern Illinois",66.2145,286,65.6694,274,96.4597,350,96.8556,345,107.95,164,111.71,228,-14.8542,322
"2026","Eastern Kentucky",68.6832,164,67.3108,181,111.379,113,109.14,172,119.103,355,120.788,350,-11.6481,297
"2026","Eastern Michigan",68.3704,179,66.5381,227,101.912,305,101.899,303,107.768,160,108.287,150,-6.3876,239
"2026","Eastern Washington",68.9305,155,67.6905,162,111.956,104,113.086,104,113.665,305,113.09,255,-0.0042973,171
"2026","Elon",67.9892,201,66.8283,213,111.08,120,110.134,152,114.415,316,115.79,304,-5.65607,230
"2026","Evansville",67.4034,226,67.0088,200,96.719,347,101.916,302,115.471,329,114.748,289,-12.8313,308
"2026","Fairfield",67.0848,241,66.9619,202,108.363,177,105.785,235,106.965,136,113.921,272,-8.13584,264
"2026","Fairleigh Dickinson",64.1558,352,63.8833,340,101.253,312,100.811,314,112.355,275,118.456,334,-17.6454,336
"2026","FIU",71.4631,31,71.5821,12,107.459,197,107.495,200,109.089,198,109.534,186,-2.03906,191
"2026","Florida",72.4625,17,70.5845,28,119.759,18,125.534,9,99.5455,24,91.7828,6,33.751,4
"2026","Florida A&M",70.3107,81,68.2646,128,99.3173,335,97.9065,341,105.849,107,110.906,211,-12.9999,311
"2026","Florida Atlantic",70.2356,85,69.6225,65,108.62,171,109.693,159,106.232,113,106.382,118,3.31142,129
"2026","Florida Gulf Coast",69.0723,143,67.5659,171,109.614,148,105.556,241,111.398,255,112.149,239,-6.5928,244
"2026","Florida St.",71.8295,28,70.4653,31,112.155,103,118.403,56,108.628,184,104.947,93,13.4561,56
"2026","Fordham",64.5411,341,64.3915,327,104.196,267,104.582,261,102.385,52,104.165,81,0.416303,166
"2026","Fresno St.",69.3524,125,68.179,133,104.423,265,107.487,201,106.095,110,104.331,85,3.15604,131
"2026","Furman",66.4903,276,65.8995,264,111.749,107,107.454,202,107.216,141,109.428,181,-1.97431,190
"2026","Gardner Webb",70.7775,63,69.219,80,93.5471,360,95.5567,353,122.152,361,121.967,358,-26.4105,361
"2026","George Mason",64.7367,335,63.4894,346,112.3,99,112.791,108,104.965,91,105.996,112,6.79523,102
"2026","George Washington",70.0102,95,69.1674,83,115.859,52,117.534,59,106.302,116,107.973,144,9.56018,85
"2026","Georgetown",67.0569,243,66.1934,247,108.492,173,114.575,89,107.673,153,103.711,73,10.8644,79
"2026","Georgia",73.479,9,71.4206,16,120.483,13,124.72,14,106.89,135,104.268,83,20.4513,32
"2026","Georgia Southern",71.0937,49,70.086,41,111.326,115,110.22,150,111.911,269,116.199,310,-5.97856,234
"2026","Georgia St.",68.7856,160,67.8403,147,99.4328,334,99.3641,334,109.282,203,112.247,244,-12.8824,309
